Date,Calories (kcal),Distance (m),Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2014-10-30,,,,,,,,,,,,,4909,,48352598,2497333,
2014-10-31,,,,,,,,,,,,,396,,86400000,,
2014-11-01,,,,,,,,,,,,,635,,86400000,,
2014-11-02,,,,,,,,,,,,,292,,86400000,,
2014-11-03,,,,,,,,,,,,,464,,86400000,,
2014-11-04,,,,,,,,,,,,,782,,76874300,148077,
2014-11-05,,,,,,12.903237342834473,77.59050750732422,12.903237342834473,77.59050750732422,,,,1482,,84569366,340844,
2014-11-06,,,,,,,,,,,,,331,,86400000,,
2014-11-07,,,,,,,,,,,,,1656,,78402865,645905,
2014-11-08,,,,,,,,,,,,,168,,85694260,,
2014-11-09,,,,,,,,,,,,,761,,86400000,,
2014-11-10,,,,,,,,,,,,,889,,79794677,,
2014-11-11,,,,,,,,,,,,,245,,86400000,,
2014-11-12,,,,,,,,,,,,,253,,86400000,,
2014-11-13,,,,,,,,,,,,,522,,86400000,,
2014-11-14,,,,,,,,,,,,,461,,86400000,,
2014-11-15,,,,,,,,,,,,,5192,,86400000,,
2014-11-16,,,,,,12.910710334777832,77.58609771728516,12.91100788116455,77.58623504638672,,,,3522,,81623081,1570836,
2014-11-17,,,,,,,,,,,,,509,,86400000,,
2014-11-18,,,,,,,,,,,,,430,,86400000,,
2014-11-19,,,,,,,,,,,,,369,,86400000,,
2014-11-20,,,,,,,,,,,,,266,,86400000,,
2014-11-21,,,,,,,,,,,,,387,,86400000,,
2014-11-22,,,,,,,,,,,,,866,,86400000,,
2014-11-23,,,,,,,,,,,,,535,,86400000,,
2014-11-24,,,,,,,,,,,,,241,,86400000,,
2014-11-25,,,,,,12.90318489074707,77.58617401123047,12.911202430725098,77.59033966064453,,,,489,,52569614,34833,
2014-11-26,,,,,,,,,,,,,170,,28562515,,
2014-11-27,,,,,,,,,,,,,2335,,80938826,1233118,
2014-11-28,,,,,,,,,,,,,576,,86400000,,
2014-11-29,,,,,,,,,,,,,521,,84778443,,
2014-11-30,,,,,,,,,,,,,141,,86224909,,
2014-12-01,,,,,,,,,,,,,340,,86400000,,
2014-12-02,,,,,,,,,,,,,162,,86400000,,
2014-12-03,,,,,,,,,,,,,270,,86400000,,
2014-12-04,,,,,,,,,,,,,643,,86400000,,
2014-12-05,,,,,,,,,,,,,553,,86400000,,
2014-12-06,,,,,,,,,,,,,147,,83961343,,
2014-12-07,,,,,,,,,,,,,138,,86400000,,
2014-12-08,,,,,,,,,,,,,265,,40832064,69119,
2014-12-09,,,,,,,,,,,,,868,,,,
2014-12-10,,,,,,,,,,,,,1121,,75202629,425895,
2014-12-11,,,,,,,,,,,,,293,,86400000,,
2014-12-12,,,,,,,,,,,,,616,,86400000,,
2014-12-13,,11.695419311523438,,,,12.90302562713623,77.5903549194336,12.903091430664062,77.59043884277344,,,,10,,86400000,,
2014-12-14,,,,,,,,,,,,,797,,86400000,,
2014-12-15,,,,,,,,,,,,,485,,86400000,,
2014-12-16,,,,,,,,,,,,,347,,86400000,,
2014-12-17,,,,,,,,,,,,,1514,,84256740,664142,
2014-12-18,,,,,,,,,,,,,2696,,79381187,1363677,
2014-12-19,,4499.74755859375,,,,12.887510299682617,77.5783462524414,12.888076782226562,77.5784912109375,,,,2606,,80495383,1318038,
2014-12-20,,6863.4052734375,,,,12.960411071777344,77.6415786743164,12.965492248535156,77.64250183105469,,,,368,,85856441,,
2014-12-21,,13245.392578125,,,,12.903096199035645,77.59044647216797,12.97186279296875,77.60657501220703,8.53136157989502,12.735050201416016,1.2040560245513916,9953,,68119849,5730288,
2014-12-22,,19003.55859375,,,,12.904943466186523,77.58621215820312,12.963314056396484,77.64888000488281,1.788493275642395,11.271535873413086,0.9695186614990234,2914,,76173398,1451977,
2014-12-23,,750.9986572265625,,,,,,,,,,,735,,86400000,,
2014-12-24,,750.9986572265625,,,,,,,,,,,542,,86400000,,
2014-12-25,,20064.078125,,,,12.897564888000488,77.59261322021484,12.966217041015625,77.64158630371094,4.42081880569458,8.251006126403809,1.3619945049285889,2156,,45179107,1377356,
2014-12-26,,1099.026123046875,,,,,,,,,,,514,,,,
2014-12-27,,1099.026123046875,,,,,,,,,,,484,,,,
2014-12-28,,1088.843994140625,,,,12.902996063232422,77.58763122558594,12.908358573913574,77.59036254882812,0.7751559019088745,0.7751559019088745,0.7751559019088745,537,,,,
2014-12-29,,,,,,,,,,,,,666,,86400000,,
2014-12-30,,,,,,,,,,,,,1844,,79485384,853649,
2014-12-31,,1559.3157958984375,,,,12.903091430664062,77.58626556396484,12.911473274230957,77.59040069580078,,,,8884,,77015643,4528952,145013
2015-01-01,,410.2686462402344,,,,,,,,,,,277,,86400000,,
2015-01-02,,410.2686462402344,,,,,,,,,,,825,,86400000,,
2015-01-03,,10493.6806640625,,,,12.911405563354492,77.58535766601562,12.975801467895508,77.6074447631836,2.6425764560699463,10.267428398132324,0.5096384286880493,5462,557939,71374613,2687238,
2015-01-04,,,,,,,,,,,,,1452,,54226152,,
2015-01-05,,,,,,,,,,,,,593,,86400000,,
2015-01-06,,,,,,,,,,,,,611,,86400000,,
2015-01-07,,,,,,,,,,,,,903,,86400000,,
2015-01-08,,6599.10986328125,,,,12.902848243713379,77.5591049194336,12.929434776306152,77.59196472167969,4.6643195152282715,10.672525405883789,0.5496525764465332,4704,,70018325,2435688,
2015-01-09,,,,,,,,,,,,,1359,,85138617,473470,
2015-01-10,,,,,,,,,,,,,1191,,81916803,,
2015-01-11,,,,,,,,,,,,,299,,86400000,,
2015-01-12,,,,,,,,,,,,,293,,86400000,,
2015-01-13,,,,,,,,,,,,,369,,86400000,,
2015-01-14,,,,,,,,,,,,,1049,,86145077,,
2015-01-15,,,,,,,,,,,,,162,,84201806,,
2015-01-16,,,,,,,,,,,,,755,,86400000,,
2015-01-17,,,,,,,,,,,,,307,,86400000,,
2015-01-18,,,,,,,,,,,,,165,,86400000,,
2015-01-19,,,,,,,,,,,,,394,,86400000,,
2015-01-20,,,,,,,,,,,,,196,,86400000,,
2015-01-21,,,,,,,,,,,,,774,,86400000,,
2015-01-22,,,,,,,,,,,,,328,,86277923,,
2015-01-23,,,,,,,,,,,,,409,,86400000,,
2015-01-24,,19256.234375,,,,12.90306282043457,77.56980895996094,12.980754852294922,77.61744689941406,6.885735988616943,6.885735988616943,6.885735988616943,3613,,74347077,1724478,
2015-01-25,,4050.6982421875,,,,12.903082847595215,77.59042358398438,12.90312671661377,77.59046173095703,,,,170,,86400000,,
2015-01-26,,366.9711608886719,,,,,,,,,,,408,,86400000,,
2015-01-27,,366.9711608886719,,,,,,,,,,,842,,86400000,,
2015-01-28,,13084.421875,,,,12.902961730957031,77.5850601196289,12.93403148651123,77.6213607788086,1.8199875354766846,9.913459777832031,0.5793898701667786,1579,,80063072,357908,
2015-01-29,,,,,,,,,,,,,1152,,75928409,455544,
2015-01-30,,,,,,,,,,,,,437,,86400000,,
2015-01-31,,,,,,,,,,,,,589,,86400000,,
2015-02-01,,,,,,,,,,,,,273,,86400000,,
2015-02-02,,,,,,,,,,,,,788,,86400000,,
2015-02-03,,,,,,,,,,,,,118,,86400000,,
2015-02-04,,,,,,,,,,,,,452,,86233077,,
2015-02-05,,,,,,,,,,,,,922,,86400000,,
2015-02-06,,38497.9375,,,,12.903050422668457,77.56761169433594,12.996696472167969,77.70154571533203,3.301964282989502,7.930920600891113,0.9773789644241333,3418,,69762649,1759439,
2015-02-07,,3131.66357421875,,,,,,,,,,,1680,,69685774,816741,
2015-02-08,,3131.66357421875,,,,,,,,,,,336,,86400000,,
2015-02-09,,3131.66357421875,,,,,,,,,,,508,,86400000,,
2015-02-10,,3131.66357421875,,,,,,,,,,,353,,86400000,,
2015-02-11,,4221.49951171875,,,,12.911083221435547,77.58650207519531,12.911483764648438,77.5865249633789,,,,274,,86400000,,
2015-02-12,,3112.514892578125,,,,12.936774253845215,77.62699890136719,12.937028884887695,77.62760162353516,1.0245345830917358,1.0245345830917358,1.0245345830917358,1403,,74654063,552577,
2015-02-13,,,,,,,,,,,,,1261,,82849578,496916,
2015-02-14,,,,,,,,,,,,,3594,,77070022,3927994,
2015-02-15,,,,,,,,,,,,,258,,86400000,,
2015-02-16,,,,,,,,,,,,,393,,86400000,,
2015-02-17,,,,,,,,,,,,,94,,57572060,,
2015-02-18,,,,,,,,,,,,,145,,86400000,,
2015-02-19,,-3.0,,,,,,,,,,,6942,,77595903,3618808,220545
2015-02-20,,,,,,,,,,,,,1099,,85682177,,
2015-02-21,,-3.0,,,,,,,,,,,255,,85870373,,
2015-02-22,,,,,,,,,,,,,150,,86400000,,
2015-02-23,,,,,,,,,,,,,102,,86400000,,
2015-02-24,,-3.0,,,,,,,,,,,552,,86400000,,
2015-02-25,,-3.0,,,,,,,,,,,1397,,82329330,,
2015-02-26,,5709.64404296875,,,,12.936903953552246,77.62649536132812,12.962394714355469,77.6483154296875,2.3070714473724365,14.197558403015137,1.1366533041000366,685,,58259157,377861,
2015-02-27,,4343.3046875,,,,,,,,,,,2045,,86400000,,
2015-02-28,,84642.890625,,,,12.533900260925293,77.56448364257812,12.978209495544434,77.96717071533203,6.090041160583496,10.249244689941406,0.516410768032074,1160,,37104748,585853,
2015-03-01,,297.61639404296875,,,,8.627717971801758,78.02272033691406,8.629603385925293,78.02468872070312,11.958414077758789,11.958414077758789,11.958414077758789,776,,78835433,,
2015-03-02,,,,,,,,,,,,,857,,86400000,,
2015-03-03,,14504.8037109375,,,,12.900864601135254,77.5693130493164,12.98433780670166,77.59059143066406,1.4690797328948975,3.3038480281829834,0.5338544845581055,2327,,68026712,951231,
2015-03-04,,165196.046875,,,,12.902833938598633,77.03103637695312,28.675989151000977,77.70928955078125,7.257537364959717,15.546894073486328,0.5242162346839905,4169,,40848256,2266440,
2015-03-05,,-3.0,,,,,,,,,,,328,,79331994,,
2015-03-06,,,,,,,,,,,,,255,,86400000,,
2015-03-07,,,,,,28.603206634521484,77.29214477539062,28.603206634521484,77.29214477539062,,,,169,,86400000,,
2015-03-08,,-3.0,,,,,,,,,,,1195,,86400000,,
2015-03-09,,9917.005859375,,,,28.589580535888672,77.25585174560547,28.603137969970703,77.29214477539062,,,,1750,,77729138,450502,60016
2015-03-10,,1175.89892578125,,,,28.602989196777344,77.29203796386719,28.60317039489746,77.292236328125,,,,593,,85968096,,
2015-03-11,,188598.328125,,,,12.902788162231445,77.11942291259766,28.612865447998047,77.70984649658203,5.263163089752197,20.028833389282227,0.6432761549949646,2871,,62068904,1570666,
2015-03-12,,-3.0,,,,,,,,,,,868,,86400000,,
2015-03-13,,,,,,,,,,,,,561,,86400000,,
2015-03-14,,,,,,,,,,,,,251,,86400000,,
2015-03-15,,-3.0,,,,,,,,,,,156,,86301679,,
2015-03-16,,-3.0,,,,,,,,,,,348,,85877193,,
